ID: 1122240764228980738,,,,no,27/04/19 20:47:03,"@El_Universal_Mx Que bueno saberlo. Pero a nadie agarran, toman las casetas en la narices  del gobierno y nadie hace nada. Así aunque haya leyes que no se ejercen, pueden poner cadena perpetua y les avale madre. Eso es impunidad",Twitter for Android,view tweet url
ID: 1122241042181316609,,,,no,27/04/19 20:48:09,@El_Universal_Mx Pues no qie las quitaría el señor AMLO,Twitter for iPhone,view tweet url
ID: 1122241737223737344,,,,no,27/04/19 20:50:55,@El_Universal_Mx Será muy delito federal pero toman las casetas sin ningún obstáculo y cuántas veces quieran.,Twitter for Android,view tweet url
ID: 1122241888159850496,,,,no,27/04/19 20:51:31,@El_Universal_Mx Por fin ya nadamas que lo lleve a cabo,Twitter for Android,view tweet url
ID: 1122242055743377408,,,,no,27/04/19 20:52:10,"@El_Universal_Mx Si todos sabemos que es un delito federal, pero la autoridad, no actúa, le tienen temor al pueblo bueno y sabio y mientras que la ciudadanía se friegue",Twitter for iPhone,view tweet url
ID: 1122242481192464384,,,,no,27/04/19 20:53:52,Aja,Twitter for iPhone,view tweet url
ID: 1122242516156182528,,,,no,27/04/19 20:54:00,"@El_Universal_Mx Naaaaaaa, es neta? En la Durango-Mazatlán hay una que tiene más de un año tomada",Twitter for Android,view tweet url
ID: 1122243029002280960,,,,no,27/04/19 20:56:03,"@El_Universal_Mx Pero es letra muerta ,aquí en la caseta de Tlalpan hacia Cuernavaca siempre están con sus letreros mamalones :  "" $50.00 de cooperación""  nunca les doy aunque me rechiflen por qué eso sí, son montoneros y cobardes ... Lastima de causa que se inventan""",Twitter for Android,view tweet url
ID: 1122243174703828992,,,,no,27/04/19 20:56:37,@El_Universal_Mx Y por que no hacen nada????,Twitter for Android,view tweet url
ID: 1122243429486845952,,,,no,27/04/19 20:57:38,@El_Universal_Mx Como a los profes se la pelan???,Twitter for iPhone,view tweet url
ID: 1122243626212265984,,,,no,27/04/19 20:58:25,@El_Universal_Mx Y si es un delito Federal por qué no se hace presente un representante de la instancia oficial para detener a las personas que cometieron el delito a la vista de TODO el mundo?O cómo son parte del Pueblo Sabio y Bueno se les perdona esta “Travesura” con un coscorrón? https://t.co/EfhX6ZibYv,Twitter for iPhone,view tweet url
ID: 1122244616143532032,,,,no,27/04/19 21:02:21,Pueden?,Twitter for iPhone,view tweet url
ID: 1122244676805771265,,,,no,27/04/19 21:02:35,@El_Universal_Mx La velocidad de la FGR Después de 15 días que se tomaron las casetas y robaron dinero durante esos 15 días ahora resulta que si es delito. Cómo dan de risa en esta era cuaternaria,Twitter for iPhone,view tweet url
ID: 1122244704534503424,,,,no,27/04/19 21:02:42,@El_Universal_Mx Pero que creen? Nunca de los nunca los van a encarcelar a estos si a estos ??,Twitter for iPhone,view tweet url
ID: 1122244805889875968,,,,no,27/04/19 21:03:06,"@El_Universal_Mx Como información está muy bien, cuando actuarán conforme a la ley??? Para evitarlo obvio...",Twitter for iPhone,view tweet url
ID: 1122246085551054848,,1,2,no,27/04/19 21:08:11,"@El_Universal_Mx No me hagan reír. Las casetas de Tijuana-Tecate y la de “El hongo” tienen 1 año tomadas, con el ejército y la policía federal ahí, y qué les hacen? Nada!!!",Twitter for iPhone,view tweet url
ID: 1122246318980644864,,,1,no,27/04/19 21:09:07,"@El_Universal_Mx ¡Ya que pongan orden,  porque ya es una verdadera anarquía!",Twitter for Android,view tweet url
ID: 1122247372560637955,,,2,no,27/04/19 21:13:18,@El_Universal_Mx La carabina de Ambrosio y esa declaración son la misma vaina si les tiembla la mano para aplicar la ley,Twitter for iPhone,view tweet url
ID: 1122248848204812289,,,,no,27/04/19 21:19:10,@El_Universal_Mx ¿Y luego ?,Twitter for iPhone,view tweet url
ID: 1122249881161093120,,,,no,27/04/19 21:23:16,@El_Universal_Mx PUEDEN?,Twitter for iPhone,view tweet url
ID: 1122251191252082694,,,,no,27/04/19 21:28:29,@El_Universal_Mx Y luego?,Twitter for iPhone,view tweet url
ID: 1122252509102268416,,,,no,27/04/19 21:33:43,@El_Universal_Mx Jajajajajajaja podrá ser delito pero estamos en mexico a esta gente la dirige gente k sabe cómo están las leyes y pues aquí no ha pasado nada,Twitter for iPhone,view tweet url
ID: 1122253138365435906,,,,no,27/04/19 21:36:13,"@El_Universal_Mx Aja, si Aja,  En este país no va haber represión por parte del Gobierno en 6 años.",Twitter for Android,view tweet url
